"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.001820","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27637, Time=60144084"
"20","0.001851","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a095)"
"21","0.001988","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27638, Time=60144084"
"22","0.002019","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a096)"
"23","0.002193","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27639, Time=60144084"
"24","0.002223","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a097)"
"25","0.002364","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27640, Time=60144084"
"26","0.002394","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a098)"
"27","0.002575","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27641, Time=60144084"
"28","0.002605","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a099)"
"29","0.002734","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27642, Time=60144084"
"30","0.002765","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09a)"
"31","0.002937","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27643, Time=60144084"
"32","0.002968","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09b)"
"33","0.003100","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27644, Time=60144084"
"34","0.003131","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09c)"
"35","0.003303","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27645, Time=60144084"
"36","0.003342","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09d)"
"37","0.003475","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27646, Time=60144084"
"38","0.003509","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09e)"
"39","0.003683","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27647, Time=60144084"
"40","0.003717","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a09f)"
"41","0.003850","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27648, Time=60144084"
"42","0.003881","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a0)"
"43","0.004059","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27649, Time=60144084"
"44","0.004093","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a1)"
"45","0.004225","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27650, Time=60144084"
"46","0.004258","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a2)"
"47","0.004435","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27651, Time=60144084"
"48","0.004468","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a3)"
"49","0.004602","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27652, Time=60144084"
"50","0.004632","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a4)"
"51","0.004815","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27653, Time=60144084"
"52","0.004845","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a5)"
"53","0.004977","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27654, Time=60144084"
"54","0.005006","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a6)"
"55","0.005188","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27655, Time=60144084"
"56","0.005217","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a7)"
"57","0.005352","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27656, Time=60144084"
"58","0.005386","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a8)"
"59","0.005760","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27657, Time=60144084"
"60","0.005790","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0a9)"
"61","0.005976","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27658, Time=60144084"
"62","0.006006","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0aa)"
"63","0.006160","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27659, Time=60144084"
"64","0.006204","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0ab)"
"65","0.006361","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27660, Time=60144084"
"66","0.006394","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0ac)"
"67","0.006542","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27661, Time=60144084"
"68","0.006615","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0ad)"
"69","0.006737","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27662, Time=60144084"
"70","0.006770","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0ae)"
"71","0.006888","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27663, Time=60144084"
"72","0.006921","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0af)"
"73","0.007123","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27664, Time=60144084"
"74","0.007156","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b0)"
"75","0.007275","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27665, Time=60144084"
"76","0.007305","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b1)"
"77","0.007501","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27666, Time=60144084"
"78","0.007530","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b2)"
"79","0.007639","192.168.3.14","192.168.100.5","RTP","1394","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27667, Time=60144084, Mark"
"80","0.008878","192.168.3.11","192.168.100.5","TLSv1","1452","Application Data"
"81","0.009006","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"82","0.009131","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"83","0.009253","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"84","0.009370","192.168.3.11","192.168.100.5","TCP","1452","443  >  63453 [ACK] Seq=5593 Ack=1 Win=2532 Len=1398"
"85","0.009492","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"86","0.009606","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"87","0.009720","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"88","0.009836","192.168.3.11","192.168.100.5","TLSv1","1452",""
"89","0.009936","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"90","0.010064","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"91","0.010147","192.168.3.11","192.168.100.5","TLSv1","1134","[Packet size limited during capture]"
"92","0.016993","192.168.3.11","192.168.100.5","TLSv1","1452",""
"93","0.017123","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"94","0.017249","192.168.3.11","192.168.100.5","TLSv1","1452",""
"95","0.017370","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"96","0.017482","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"97","0.017609","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"98","0.017723","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"99","0.017829","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"100","0.017963","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"101","0.018066","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"102","0.018185","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"103","0.026869","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"104","0.026999","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"105","0.027123","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"106","0.027246","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"107","0.027368","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"108","0.027483","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"109","0.027598","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"110","0.027708","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"111","0.027827","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"112","0.027947","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"113","0.028060","192.168.3.11","192.168.100.5","TLSv1","1452",""
"114","0.028181","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"115","0.033915","192.168.3.13","192.168.100.5","RTP","209","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58895, Time=60510450"
"116","0.034304","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"117","0.034429","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"118","0.034550","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"119","0.034674","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"120","0.034794","192.168.3.13","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58896, Time=60510450"
"121","0.034849","192.168.3.13","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f54)"
"122","0.034934","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"123","0.035053","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"124","0.035169","192.168.3.13","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58897, Time=60510450"
"125","0.035206","192.168.3.13","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f55)"
"126","0.035298","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"127","0.035415","192.168.3.13","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58898, Time=60510450"
"128","0.035455","192.168.3.13","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f56)"
"129","0.035548","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"130","0.035658","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"131","0.035780","192.168.3.13","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58899, Time=60510450"
"132","0.035811","192.168.3.13","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f57)"
"133","0.035922","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"134","0.036031","192.168.3.13","192.168.100.5","RTP","1212","PT=DynamicRTP-Type-105, SSRC=0xA057D1FD, Seq=58900, Time=60510450, Mark"
"135","0.036124","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"136","0.036252","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"137","0.041982","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"138","0.042116","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"139","0.042253","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"140","0.042350","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"141","0.042479","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"142","0.042603","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"143","0.042712","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"144","0.042829","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"145","0.042941","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"146","0.043063","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"147","0.043183","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"148","0.043301","192.168.3.11","192.168.100.5","TLSv1","1452","[Packet size limited during capture]"
"149","0.045269","192.168.3.12","192.168.100.5","RTP","87","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=6999, Time=58582524"
"150","0.045465","192.168.3.12","192.168.100.5","RTP","60","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7000, Time=58582524"
"151","0.045635","192.168.3.12","192.168.100.5","RTP","209","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7001, Time=58582524"
"152","0.047591","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7002, Time=58582524"
"153","0.047620","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f3c)"
"154","0.047783","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7003, Time=58582524"
"155","0.047815","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f3d)"
"156","0.047991","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7004, Time=58582524"
"157","0.048024","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f3e)"
"158","0.048138","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7005, Time=58582524"
"159","0.048169","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f3f)"
"160","0.048367","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7006, Time=58582524"
"161","0.048399","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f40)"
"162","0.048509","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7007, Time=58582524"
"163","0.048539","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f41)"
"164","0.048731","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7008, Time=58582524"
"165","0.048760","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f42)"
"166","0.048873","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7009, Time=58582524"
"167","0.048904","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f43)"
"168","0.049094","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7010, Time=58582524"
"169","0.049124","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f44)"
"170","0.049236","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7011, Time=58582524"
"171","0.049268","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f45)"
"172","0.049442","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7012, Time=58582524"
"173","0.049474","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f46)"
"174","0.049597","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7013, Time=58582524"
"175","0.049626","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f47)"
"176","0.049809","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7014, Time=58582524"
"177","0.049847","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f48)"
"178","0.049971","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7015, Time=58582524"
"179","0.050000","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f49)"
"180","0.050183","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7016, Time=58582524"
"181","0.050235","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4a)"
"182","0.050320","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7017, Time=58582524"
"183","0.050350","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4b)"
"184","0.050542","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7018, Time=58582524"
"185","0.050582","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4c)"
"186","0.050695","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7019, Time=58582524"
"187","0.050725","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4d)"
"188","0.050906","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7020, Time=58582524"
"189","0.050938","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4e)"
"190","0.051058","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7021, Time=58582524"
"191","0.051109","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f4f)"
"192","0.051268","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7022, Time=58582524"
"193","0.051297","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f50)"
"194","0.051423","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7023, Time=58582524"
"195","0.051475","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f51)"
"196","0.051632","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7024, Time=58582524"
"197","0.051665","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f52)"
"198","0.051949","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7025, Time=58582524"
"199","0.051981","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f53)"
"200","0.052159","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7026, Time=58582524"
"201","0.052187","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f54)"
"202","0.052367","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7027, Time=58582524"
"203","0.052399","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f55)"
"204","0.052514","192.168.3.12","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7028, Time=58582524"
"205","0.052543","192.168.3.12","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=9f56)"
"206","0.052681","192.168.3.12","192.168.100.5","RTP","1271","PT=DynamicRTP-Type-105, SSRC=0x5E4C6ABA, Seq=7029, Time=58582524, Mark"
"207","0.060873","192.168.3.14","192.168.100.5","RTP","209","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27668, Time=60150090"
"208","0.061869","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27669, Time=60150090"
"209","0.061902","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b3)"
"210","0.062066","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27670, Time=60150090"
"211","0.062099","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b4)"
"212","0.062271","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27671, Time=60150090"
"213","0.062303","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b5)"
"214","0.062429","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27672, Time=60150090"
"215","0.062503","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b6)"
"216","0.062665","192.168.3.14","192.168.100.5","RTP","1450","PT=DynamicRTP-Type-105, SSRC=0xC5375D28, Seq=27673, Time=60150090"
"217","0.062710","192.168.3.14","192.168.100.5","IPv4","98","Fragmented IP protocol (proto=UDP 17, off=1416, ID=a0b7)"
